Data Point ID,Category,Metric/Finding,Value,Unit,Year,Source Name,Source URL,Source Tier,Confidence,Notes,Date Added
D6-001,Object Storage,Cloudflare R2 Storage Cost,0.015,USD/GB/month,2025,CDN Providers 2025,https://github.com/roboalchemist/llm-code-docs/blob/main/docs/cdn-providers-2025.md,Tier 2,MEDIUM,Zero egress fees - major advantage for video streaming,2026-02-17
D6-002,Object Storage,Cloudflare R2 Egress Cost,0,USD/GB,2025,CDN Providers 2025,https://github.com/roboalchemist/llm-code-docs/blob/main/docs/cdn-providers-2025.md,Tier 2,MEDIUM,No egress fees regardless of traffic volume,2026-02-17
D6-003,Object Storage,Backblaze B2 Storage Cost,0.006,USD/GB/month,2025,CDN Providers 2025,https://github.com/roboalchemist/llm-code-docs/blob/main/docs/cdn-providers-2025.md,Tier 2,MEDIUM,Lowest storage cost among major providers,2026-02-17
D6-004,Object Storage,Backblaze B2 Egress Cost,0,USD/GB,2025,CDN Providers 2025,https://github.com/roboalchemist/llm-code-docs/blob/main/docs/cdn-providers-2025.md,Tier 2,MEDIUM,Free egress up to 3x stored data volume,2026-02-17
D6-005,Object Storage,Wasabi Storage Cost,0.007,USD/GB/month,2025,CDN Providers 2025,https://github.com/roboalchemist/llm-code-docs/blob/main/docs/cdn-providers-2025.md,Tier 2,MEDIUM,No egress fees - good for read-heavy workloads,2026-02-17
D6-006,Object Storage,Amazon S3 Storage Cost,0.023,USD/GB/month,2025,CDN Providers 2025,https://github.com/roboalchemist/llm-code-docs/blob/main/docs/cdn-providers-2025.md,Tier 2,MEDIUM,Higher cost but strong AWS ecosystem integration,2026-02-17
D6-007,Object Storage,Amazon S3 Egress Cost,0.09,USD/GB,2025,CDN Providers 2025,https://github.com/roboalchemist/llm-code-docs/blob/main/docs/cdn-providers-2025.md,Tier 2,MEDIUM,Significant egress fees - major cost factor at scale,2026-02-17
D6-008,Object Storage,Google Cloud Storage Cost,0.02,USD/GB/month,2025,CDN Providers 2025,https://github.com/roboalchemist/llm-code-docs/blob/main/docs/cdn-providers-2025.md,Tier 2,MEDIUM,Competitive storage pricing,2026-02-17
D6-009,Object Storage,Google Cloud Egress Cost,0.12,USD/GB,2025,CDN Providers 2025,https://github.com/roboalchemist/llm-code-docs/blob/main/docs/cdn-providers-2025.md,Tier 2,MEDIUM,Highest egress cost among major cloud providers,2026-02-17
D6-010,CDN,Bunny CDN Cost per Region,0.02,USD/GB,2025,CDN Providers 2025,https://github.com/roboalchemist/llm-code-docs/blob/main/docs/cdn-providers-2025.md,Tier 2,MEDIUM,15 edge locations with multi-region support,2026-02-17
D6-011,CDN,Bunny CDN Global TTFB,26,milliseconds,2025,CDN Providers 2025,https://github.com/roboalchemist/llm-code-docs/blob/main/docs/cdn-providers-2025.md,Tier 2,MEDIUM,Time to first byte performance metric,2026-02-17
D6-012,Object Storage,Hetzner Storage Cost,0.007,USD/GB/month,2025,CDN Providers 2025,https://github.com/roboalchemist/llm-code-docs/blob/main/docs/cdn-providers-2025.md,Tier 2,MEDIUM,Originally €0.0119/GB - converted to USD,2026-02-17
D6-013,Object Storage,Hetzner Egress Cost,0.00143,USD/GB,2025,CDN Providers 2025,https://github.com/roboalchemist/llm-code-docs/blob/main/docs/cdn-providers-2025.md,Tier 2,MEDIUM,Lowest egress cost among providers,2026-02-17
D6-014,Object Storage,DigitalOcean Spaces Minimum Cost,5,USD/month,2025,CDN Providers 2025,https://github.com/roboalchemist/llm-code-docs/blob/main/docs/cdn-providers-2025.md,Tier 2,MEDIUM,Includes 250GB storage in base price,2026-02-17
D6-015,Compute,AWS m4.xlarge Instance Cost,0.20,USD/hour,2025,Streamline Video Reference,https://github.com/streamlinevideo/streamline,Tier 2,MEDIUM,~$4.80/day or ~$144/month for origin server,2026-02-17
D6-016,CDN,Amazon CloudFront Cost (US),0.02,USD/GB,2025,System Design CDN,https://github.com/DreamOfTheRedChamber/system-design-interviews/blob/master/networkComponents/cdn.md,Tier 2,MEDIUM,Regional pricing - US region rate,2026-02-17
D6-017,CDN,Large-Scale CDN Daily Cost Example,150000,USD/day,2025,System Design CDN,https://github.com/DreamOfTheRedChamber/system-design-interviews/blob/master/networkComponents/cdn.md,Tier 2,MEDIUM,Calculation: 5M users × 5 videos × 0.3GB × $0.02/GB,2026-02-17
